"","ACSA","NYSY","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"1947",0.0167804154760617,0.000503002559946716,0,0.00711140918561043,0.0125233892858893,0.0361165716221983,0,0.0285653014144651,0.0619943585367779,0.00108653618203573,0.000875560280786045,0.00109142374412571
"1946",0.0134963623644817,0.000618997621479257,0,0.00562944485202233,0.0116764949822674,0.0294943868166847,0,0.0333877889947825,0.0520788889043513,0.00109803887451491,0.000888152192209203,0.000974202570964835
"1945",0.0179062348444642,0.000415296179476273,0,0.00591855755912768,0.0110847825136165,0.0239727192260557,0,0.0279035755337882,0.0537387550858441,0.00110976208922369,0.000904591411930861,0.000653229602461631
"1944",0.0116812116863757,0.000465106870921352,0,0.00423456691530866,0.0091463448630526,0.0159167914174395,0,0.0204914598449339,0.042953478861727,0.00112148002645745,0.000781627460757252,0.000994758589844321
"1943",0.012235030611695,0.000407871709167035,0,0.00646002946611468,0.0110838863133648,0.0251971546798181,0,0.0329546329855226,0.0501577597129788,0.00113291447343824,0.000690486434631744,0.000767402700506355
"1942",0.0150097566809059,0.000334794154615108,0,0.00798635670085462,0.0102848734742774,0.0540710312063809,0,0.0414052369036533,0.0576555175064657,0.00114372626361459,0.0008457519339342,0.0011385636753528
"1941",0.0145017081570394,0.000219529975196319,0,0.00604792813243737,0.00929395094275648,0.0140928617788645,0,0.0309918162669607,0.0479050466287143,0.00115350590704412,0.000769120912012047,0.000727960081026983
"1940",0.0130187743298665,0.000208958855719379,0,0.00768801201144559,0.0112563773426763,0.0191854252993983,0,0.0326010147519455,0.054326953823483,0.00116176351522296,0.000750954317379805,0.000698178194122233
"1939",0.0134660846127687,0.000185398066656347,0,0.00820011529054282,0.0119323922964486,0.0289854627381869,0,0.0386105507759891,0.0703771436563865,0.00116791827376061,0.000927018621834513,0.00118117318991228
"1938",0.0170162677425506,0.000223441450551851,0,0.0135909959471277,0.011423012169245,0.0284689152219216,0,0.0431361566155481,0.070359188414201,0.001171287925666,0.00117569995532722,0.00132873387505801
"1937",0.0174726289565891,0.000169623158615261,0,0.010893826769759,0.00904322798514112,0.0527820912227904,0,0.0405369431318101,0.0556217582953775,0.00117182013337309,0.000957667599049722,0.000616106772782109
"1936",0.00981616150570702,0.00012111735297277,0,0.00722139195128632,0.00630298744919078,0.0087046715340458,0,0.0223949841354198,0.039375465765791,0.00116581356997837,0.000702077985193519,0.000318323752733917
"1935",0.0137880478930061,9.90751451283682e-05,0,0.00931294198455104,0.0103482326127399,0.0203721465798008,0,0.0310709215401264,0.0561945969277908,0.00115599088795668,0.00063883291305426,0.000542769797213646
"1934",0.0133312172626798,0.00020556455024876,0,0.00729102910215554,0.00880561784832121,0.0171447023031165,0,0.0181689512364502,0.0500940427189667,0.00113928201101802,0.000901893252209206,0.000376826036689166
"1933",0.00914619791876059,5.96509216528873e-05,0,0.00539952116746123,0.00757508816859057,0.0134945786983278,0,0.00938754629818472,0.043610034116861,0.00111437837869713,0.00077554480872994,0.000436369297717006
"1932",0.0114531486756363,8.49767043612816e-05,0,0.00925500964090187,0.00807471844626964,0.0178618773265825,0,0.0136071540710976,0.0562599443264684,0.00107986826048144,0.000982566750721624,0.000629939025280751
"1931",0.0112085319666384,0.000152250717516947,0,0.00368184365703919,0.00776655580489882,0.0116369010410481,0,0.0123958467025422,0.0444205813213165,0.00103427706816717,0.000972591544278308,0.000547773905059614
"1930",0.0096355858834283,0.000426452618016257,0,0.00394598129753068,0.00790841340453538,0.0121436248107964,0,0.0199438355599202,0.0507467057335065,0.000976138389293261,0.000641940655172195,0.000585812253353295
"1929",0.0141322063886211,0.000569487116998625,0,0.0050535726479625,0.0089814016047329,0.0380417701153271,0,0.0191876385664189,0.0603329538366042,0.000904111584313219,0.0004285274205553,0.000670642428024233
"1928",0.00999004116356045,0.000113097595087453,0,0.00503300359067277,0.00922906332177062,0.0160645442411846,0,0.0213152771678538,0.0687718566719502,0.000817170282875118,0.000797774984506734,0.000793312570819535
"1927",0.0104852584311529,8.04527389992073e-05,0,0.00527706602038713,0.00970200087701975,0.0137250772167747,0,0.0260642709247003,0.0553227820946502,0.000714900417387483,0.00130424032091643,0.00115411359039286
"1926",0.00927830380258374,0.000128151078401542,0,0.00529999298450967,0.00821455159157128,0.010568971534154,0,0.022741026481508,0.048868571924062,0.000597972385138612,0.000763550357894341,0.00105548208533498
"1925",0.0103797571993914,0.000285766179232266,0,0.00495948931133106,0.00591145398743295,0.0111084883658008,0,0.0181718648312124,0.0420066251922919,0.000468904441816384,0.000916269174373034,0.000534191146222324
"1924",0.00849105564322158,0.00117506384007653,0,0.00345403545118714,0.00806757229280516,0.0125499110362987,0,0.0195080387381938,0.0447883518788528,0.000333359552816166,0.000973154375894597,0.000818797129686711
"1923",0.00922086116289095,0.00023037168785767,0,0.00326442472913066,0.00658798050791354,0.00891412036352561,0,0.0278962084183417,0.0390272435172583,0.00020260616112248,0.000677467656054802,0.000437787189514059
"1922",0.00813912394429372,0.000264295385518773,0,0.00351870227690135,0.00698957958189583,0.00715293811764128,0,0.0278961460329634,0.0383169983142411,9.98897761700335e-05,0.000773153966431244,0.000515577574310186
